leiden,immune_subtype,count
0,CD4_memory,86
0,CD4_naive,3
0,CD8_effector,181
0,CD8_exhausted,61
0,CD8_memory,14
0,Immune_unassi,1
0,Macro_M2,2
0,NK_cytotoxic,14
0,Th1,10
0,Th17,4
0,Th2,4
0,Treg,3
0,pDC,1
1,CD4_memory,52
1,CD4_naive,16
1,CD8_exhausted,6
1,CD8_memory,8
1,Th1,1
1,Th2,3
1,Treg,24
1,pDC,2
2,CD4_memory,35
2,Macro_M1,33
2,Macro_M2,245
2,Treg,5
2,cDC2,4
2,pDC,3
3,CD4_memory,38
3,CD8_effector,1
3,CD8_exhausted,1
3,Macro_M1,11
3,Macro_M2,29
3,Th17,1
3,cDC1,1
3,cDC2,6
3,pDC,4
4,CD4_memory,2
4,CD4_naive,15
4,CD8_effector,2
4,CD8_exhausted,1
4,CD8_memory,3
4,Immune_unassi,7
4,Macro_M1,12
4,Macro_M2,1
4,Th1,2
4,Th17,10
4,Treg,1
4,cDC1,53
4,cDC2,7
4,pDC,28
5,Immune_unassi,1
5,NK_cytotoxic,1
6,CD4_memory,114
6,CD4_naive,37
6,CD8_effector,4
6,CD8_exhausted,17
6,CD8_memory,10
6,Macro_M2,1
6,NK_cytotoxic,1
6,Th17,3
6,Th2,6
6,Treg,38
6,cDC1,1
6,pDC,1
7,CD4_memory,1
7,CD4_naive,1
7,Immune_unassi,6
7,Macro_M1,2
7,Macro_M2,1
7,NK_cytotoxic,1
7,cDC1,1
8,CD4_memory,52
8,CD4_naive,9
8,CD8_effector,105
8,CD8_exhausted,24
8,CD8_memory,4
8,Immune_unassi,1
8,Macro_M2,1
8,NK_cytotoxic,22
8,Th1,16
8,Th17,3
8,Th2,2
8,Treg,3
8,cDC1,2
8,pDC,1
9,CD4_memory,7
9,CD4_naive,3
9,CD8_effector,6
9,CD8_exhausted,1
9,CD8_memory,2
9,Immune_unassi,17
9,Macro_M2,2
9,Th17,1
9,Th2,1
9,Treg,3
9,pDC,24
11,CD4_memory,5
11,CD4_naive,1
11,Macro_M1,7
11,Macro_M2,8
11,cDC1,7
11,cDC2,23
12,CD4_memory,63
12,CD8_exhausted,2
12,Immune_unassi,2
12,Macro_M2,2
12,Th1,1
12,Th2,4
12,Treg,4
12,cDC2,2
12,pDC,1
13,CD8_effector,1
13,Immune_unassi,1
14,CD4_naive,30
14,CD8_exhausted,1
14,CD8_memory,5
14,Immune_unassi,7
14,Macro_M1,5
14,Macro_M2,1
14,Th1,1
14,Th17,27
14,Treg,2
14,cDC1,66
14,cDC2,5
14,pDC,55
15,CD4_memory,8
15,CD4_naive,1
15,CD8_effector,9
15,CD8_exhausted,7
15,CD8_memory,2
15,Macro_M2,5
15,NK_cytotoxic,2
15,Th1,2
15,Th17,1
15,Th2,1
15,Treg,2
16,Immune_unassi,3
16,pDC,1
